784.00	56.0000	2
901.60	65.0000	2
744.80	64.5000	2
666.40	58.4000	2
1078.00	65.0000	1
1176.00	73.7000	1
666.40	46.9000	2
956.00	68.2500	1
1019.20	64.5000	1
823.20	63.2000	2
637.00	55.5000	2
1166.20	72.5000	1
833.00	62.5000	2
686.00	46.7000	2
656.60	54.0500	2
950.60	58.8000	2
645.00	55.5000	2
1137.00	67.0000	1
1250.00	81.0000	1
1254.40	76.5000	1
1274.00	74.7500	1
1352.40	84.7500	1
1225.00	74.6500	1
1058.40	60.7000	1
1058.40	61.2500	1
891.80	55.8000	1
1215.40	74.5000	1
1254.40	76.3000	1
901.60	65.4000	1
1177.23	71.0000	1
746.78	54.0000	2
1011.43	61.0000	1
972.02	64.5000	2
1264.87	78.0000	1
694.23	48.0000	2
784.81	56.7500	2
1172.42	74.0000	1
696.74	57.0000	2
